"reference";"consensus_majority_nRF";"consensus_majority_nMCI";"consensus_majority_nTips";"consensus_greedy_nRF";"consensus_greedy_nMCI";"consensus_greedy_nTips";"super_ortho_nRF";"super_ortho_nMCI";"super_ortho_nTips";"super_para_nRF";"super_para_nMCI";"super_para_nTips";"timetree_vs_article_nRF";"timetree_vs_article_nMCI";"timetree_vs_article_nTips"
"article";"0.500";"0.442";"27";"0.208";"0.829";"27";"0.292";"0.792";"27";"0.375";"0.766";"27";"0.375";"0.787";"27"
"timetree";"0.562";"0.458";"27";"0.458";"0.752";"27";"0.542";"0.717";"27";"0.542";"0.732";"27";"-";"-";"-"
